LearDia;LearHou;SharHou;CollMem;CollExp;CourCom;Kelas
0;0.36;0;0;0;3;Tollroad Operation
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;2;Business Support & Office Support
0;1.64;0;0;0;0;Tollroad Operation
443;164.86;80.17;401;1143;696;Tollroad Engineering
0;20.91;0;0;166;2;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Business Support & Office Support
0;36.23;0;0;20;0;Business Management
0;18.08;0;0;5;0;Finance
0;0.51;0;1;5;0;Tollroad Operation
306;79.55;69.08;230;314;593;Tollroad Operation
0;32.48;0;0;240;0;Business Support & Office Support
0;0;0;0;0;0;Tollroad Engineering
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;16.99;0;0;5;0;Compliance & Legal
0;0;0.08;1;0;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
1238;389.34;230.95;1212;2120;2054;Tollroad Operation
0;0.72;0;0;0;10;Tollroad Operation
11;35.03;0;0;0;0;Business Support & Office Support
0;5.04;0;1;7;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;0;0;0;0;0;Tollroad Operation
0;21.52;0;0;4;0;Business Management
0;1.61;0.75;18;17;25;Tollroad Operation
0;2.79;0;0;11;0;Tollroad Operation
0;61.89;0;0;79;0;Compliance & Legal
0;0;0;0;0;0;Tollroad Operation
1;48.86;3.25;3;198;0;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;21.89;0;0;76;206;Tollroad Operation
0;6.38;0;0;1;0;Tollroad Engineering
0;2.06;0;0;0;0;Business Management
0;1.21;0;0;0;0;Tollroad Operation
0;0.01;0;0;3;1;Tollroad Operation
0;0;0;0;0;0;Tollroad Operation
0;0;0;0;0;0;Information Technology
0;173.87;0;2;161;9;Business Support & Office Support
0;0;0;0;0;0;Tollroad Operation
